ENCFF651VPB, stomach, stable peaks,
ENCFF805ZSK, stomach, stable peaks,
ENCFF898EJC, lung, stable peaks,
ENCFF038UET, lung, stable peaks,
ENCFF788TVU, caudate nucleus, stable peaks,
ENCFF955VMY, caudate nucleus, stable peaks,
ENCFF065NRN, liver, stable peaks,
ENCFF119GOD, liver, stable peaks,
ENCFF851DNH, vagina, replicated peaks,
ENCFF661YCK, vagina, replicated peaks,
ENCFF369QNB, breast epithelium, replicated peaks,
ENCFF065TIH, breast epithelium, replicated peaks,
ENCFF030BZG, mucosa of rectum, stable peaks,
ENCFF067PQK, mucosa of rectum, stable peaks,
ENCFF801SOS, stomach smooth muscle, stable peaks,
ENCFF596MVL, stomach smooth muscle, stable peaks,
ENCFF782JLB, mucosa of rectum, stable peaks,
ENCFF022NHS, mucosa of rectum, stable peaks,
ENCFF175WXE, skeletal muscle tissue, stable peaks,
ENCFF172SAU, skeletal muscle tissue, stable peaks,
ENCFF723CUO, lung, stable peaks,
ENCFF847ALY, lung, stable peaks,
ENCFF413OBW, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF524VHL, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF836LXX, heart left ventricle, stable peaks,
ENCFF814QSX, heart left ventricle, stable peaks,
ENCFF648OLF, substantia nigra, stable peaks,
ENCFF225GLV, substantia nigra, stable peaks,
ENCFF659VMT, coronary artery, replicated peaks,
ENCFF900KYA, coronary artery, replicated peaks,
ENCFF147VOD, pancreas, stable peaks,
ENCFF340YEE, pancreas, stable peaks,
ENCFF334DZG, kidney, stable peaks,
ENCFF913FVX, kidney, stable peaks,
ENCFF726WMX, liver, stable peaks,
ENCFF722BTD, liver, stable peaks,
ENCFF584UPX, spleen, stable peaks,
ENCFF772AFU, spleen, stable peaks,
ENCFF198OBU, adrenal gland, stable peaks,
ENCFF825DIG, adrenal gland, stable peaks,
ENCFF767NIK, body of pancreas, replicated peaks,
ENCFF616LQX, body of pancreas, replicated peaks,
ENCFF005QIU, colonic mucosa, stable peaks,
ENCFF637OKI, colonic mucosa, stable peaks,
ENCFF812UXQ, esophagus, stable peaks,
ENCFF494QMN, esophagus, stable peaks,
ENCFF925HIR, psoas muscle, stable peaks,
ENCFF287YZV, psoas muscle, stable peaks,
ENCFF754GGQ, layer of hippocampus, stable peaks,
ENCFF052URZ, layer of hippocampus, stable peaks,
ENCFF563IRG, small intestine, stable peaks,
ENCFF622LDP, small intestine, stable peaks,
ENCFF327XKR, muscle layer of colon, stable peaks,
ENCFF698YWG, muscle layer of colon, stable peaks,
ENCFF223BCY, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF101NBG, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF665CSL, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF668WUV, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF525DKD, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF456QXM, subcutaneous abdominal adipose tissue, stable peaks,
ENCFF709VZW, stomach, stable peaks,
ENCFF694HIG, stomach, stable peaks,
ENCFF827NFH, esophagus squamous epithelium, replicated peaks,
ENCFF518WBH, esophagus squamous epithelium, replicated peaks,
ENCFF006KVW, amnion, stable peaks,
ENCFF831NRO, amnion, stable peaks,
ENCFF354PJA, brain, replicated peaks,
ENCFF483PRQ, brain, replicated peaks,
ENCFF765AVB, heart left ventricle, stable peaks,
ENCFF866LXE, heart left ventricle, stable peaks,
ENCFF636VXP, right lobe of liver, replicated peaks,
ENCFF250OOO, right lobe of liver, replicated peaks,
ENCFF976DLO, right cardiac atrium, stable peaks,
ENCFF403WAJ, right cardiac atrium, stable peaks,
ENCFF076SMI, spleen, stable peaks,
ENCFF590BSY, spleen, stable peaks,
ENCFF081WWW, stomach smooth muscle, stable peaks,
ENCFF127EBG, stomach smooth muscle, stable peaks,
ENCFF243YCB, adrenal gland, stable peaks,
ENCFF407UCE, adrenal gland, stable peaks,
ENCFF362GSY, esophagus muscularis mucosa, replicated peaks,
ENCFF355IZE, esophagus muscularis mucosa, replicated peaks,
ENCFF429ZVU, sigmoid colon, stable peaks,
ENCFF890JZD, sigmoid colon, stable peaks,
