File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF292NGD	bed narrowPeak	peaks	ENCSR129NCV	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF306WQB, ENCFF687NHR	1439912	Anshul Kundaje, Stanford	9c854aebe5300d76aee0f653f474756d		https://www.encodeproject.org/files/ENCFF292NGD/@@download/ENCFF292NGD.bed.gz	hg19				archived	s3://encode-public/2016/03/09/ffda7f30-3afc-423b-a37b-f554bf18a67f/ENCFF292NGD.bed.gz	mild to moderate bottlenecking, low read length, low read depth			
ENCFF651VPB	bed narrowPeak	stable peaks	ENCSR129NCV	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF230BUV	755717	ENCODE Processing Pipeline	f3076ea64a26404ba17eaaa08de3b43c		https://www.encodeproject.org/files/ENCFF651VPB/@@download/ENCFF651VPB.bed.gz	hg19				released	s3://encode-public/2017/03/23/22e9e64c-5a9a-4f1d-93ba-35a5bdf6c404/ENCFF651VPB.bed.gz	mild to moderate bottlenecking, low read length, low read depth			
ENCFF877WPJ	bed narrowPeak	peaks	ENCSR129NCV	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF218XAV, ENCFF937AGY	1442527	ENCODE Processing Pipeline	e1ecf7f7f0f0499791cd880f16bedb44		https://www.encodeproject.org/files/ENCFF877WPJ/@@download/ENCFF877WPJ.bed.gz	GRCh38				released	s3://encode-public/2017/03/23/892f1334-c446-4349-8bd8-16959732367b/ENCFF877WPJ.bed.gz	mild to moderate bottlenecking, low read length, low read depth			
ENCFF805ZSK	bed narrowPeak	stable peaks	ENCSR129NCV	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF877WPJ	750530	ENCODE Processing Pipeline	370b137ab8ac1e7361e0f93d12931b0e		https://www.encodeproject.org/files/ENCFF805ZSK/@@download/ENCFF805ZSK.bed.gz	GRCh38				released	s3://encode-public/2017/03/23/037735b7-7193-42b2-b1ef-2f0c807e72f9/ENCFF805ZSK.bed.gz	mild to moderate bottlenecking, low read length, low read depth			
ENCFF230BUV	bed narrowPeak	peaks	ENCSR129NCV	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF417COB, ENCFF840DMW	1442011	ENCODE Processing Pipeline	0fa9d295b4f19b4f86b6d92ad3bde318		https://www.encodeproject.org/files/ENCFF230BUV/@@download/ENCFF230BUV.bed.gz	hg19				released	s3://encode-public/2017/03/23/598431f3-f8c2-4be8-add9-b793d47b557e/ENCFF230BUV.bed.gz	mild to moderate bottlenecking, low read length, low read depth			
ENCFF178VJL	bed narrowPeak	peaks	ENCSR466DZW	ChIP-seq	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF206HHS, ENCFF263OYY	1541858	Anshul Kundaje, Stanford	a95584326ff8cda365857d184b9979fd		https://www.encodeproject.org/files/ENCFF178VJL/@@download/ENCFF178VJL.bed.gz	hg19				archived	s3://encode-public/2016/03/09/0604cfa5-d575-4e85-b9d2-a2033eb086c8/ENCFF178VJL.bed.gz	control low read depth, moderate library complexity, mild to moderate bottlenecking, low read depth			
ENCFF898EJC	bed narrowPeak	stable peaks	ENCSR466DZW	ChIP-seq	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF935MFX	749267	ENCODE Processing Pipeline	b6eaf893c09b24a3e5e75550e62d0692		https://www.encodeproject.org/files/ENCFF898EJC/@@download/ENCFF898EJC.bed.gz	hg19				released	s3://encode-public/2017/03/21/f848ad27-ff7f-40e0-a31f-3686deeace9b/ENCFF898EJC.bed.gz	control low read depth, moderate library complexity, mild to moderate bottlenecking, low read depth			
ENCFF935MFX	bed narrowPeak	peaks	ENCSR466DZW	ChIP-seq	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF075EVY, ENCFF204TDI	859200	ENCODE Processing Pipeline	3639bdb5e5dc3569544c69981180bd54		https://www.encodeproject.org/files/ENCFF935MFX/@@download/ENCFF935MFX.bed.gz	hg19				released	s3://encode-public/2017/03/21/9e53b473-c9ba-4708-b6b4-8b1952177547/ENCFF935MFX.bed.gz	control low read depth, moderate library complexity, mild to moderate bottlenecking, low read depth			
ENCFF890ESC	bed narrowPeak	peaks	ENCSR466DZW	ChIP-seq	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF624IVV, ENCFF859GMA	858887	ENCODE Processing Pipeline	37eeab9b16b38d819db52b7d05e8829c		https://www.encodeproject.org/files/ENCFF890ESC/@@download/ENCFF890ESC.bed.gz	GRCh38				released	s3://encode-public/2017/03/21/53a596b7-667a-4bbb-9fa3-1bb2ca83d0fc/ENCFF890ESC.bed.gz	control low read depth, moderate library complexity, mild to moderate bottlenecking, low read depth			
ENCFF038UET	bed narrowPeak	stable peaks	ENCSR466DZW	ChIP-seq	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF890ESC	747381	ENCODE Processing Pipeline	82b9a7b2a3522511432148ee489d8116		https://www.encodeproject.org/files/ENCFF038UET/@@download/ENCFF038UET.bed.gz	GRCh38				released	s3://encode-public/2017/03/21/c99a21f4-8c1b-443b-ab7f-b84c755b393c/ENCFF038UET.bed.gz	control low read depth, moderate library complexity, mild to moderate bottlenecking, low read depth			
ENCFF979YXX	bed narrowPeak	peaks	ENCSR486QMV	ChIP-seq	UBERON:0001873	caudate nucleus	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF019UUR, ENCFF469UUP	1347108	ENCODE Processing Pipeline	ef9b837204eb0c039029d6cff4f69117		https://www.encodeproject.org/files/ENCFF979YXX/@@download/ENCFF979YXX.bed.gz	GRCh38				released	s3://encode-public/2017/11/06/627135ae-51ea-4f04-af02-3a9ef5d927c3/ENCFF979YXX.bed.gz	low read length			
ENCFF788TVU	bed narrowPeak	stable peaks	ENCSR486QMV	ChIP-seq	UBERON:0001873	caudate nucleus	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF979YXX	1177964	ENCODE Processing Pipeline	ba6ca3f9453188ed001a76a076825dcc		https://www.encodeproject.org/files/ENCFF788TVU/@@download/ENCFF788TVU.bed.gz	GRCh38				released	s3://encode-public/2017/11/06/4df490f3-be70-4b1e-a5b5-1548906522b7/ENCFF788TVU.bed.gz	low read length			
ENCFF955VMY	bed narrowPeak	stable peaks	ENCSR486QMV	ChIP-seq	UBERON:0001873	caudate nucleus	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF104GWF	1172104	ENCODE Processing Pipeline	7c4ccec1e195400cc4a844be6384a8eb		https://www.encodeproject.org/files/ENCFF955VMY/@@download/ENCFF955VMY.bed.gz	hg19				released	s3://encode-public/2018/01/20/ee61e2d9-cf59-4b18-85e2-bc708309ac6b/ENCFF955VMY.bed.gz	low read length			
