tissue	color_hex
Adipose_Subcutaneous	#FF6600
Artery_Coronary	#FFAA99
Artery_Tibial	#FF0000
Brain_Amygdala	#EEEE00
Brain_Substantia_nigra	#EEEE00
Brain_Anterior_cingulate_cortex_BA24	#EEEE00
Vagina	#FF5599
Brain_Cerebellum	#EEEE00
Brain_Cortex	#EEEE00
Brain_Hippocampus	#EEEE00
Adipose_Visceral_Omentum	#FFAA00
Brain_Putamen_basal_ganglia	#EEEE00
Prostate	#DDDDDD
Cells_Cultured_fibroblasts	#AAEEFF
Skin_Not_Sun_Exposed_Suprapubic	#0000FF
Skin_Sun_Exposed_Lower_leg	#7777FF
Uterus	#FF66FF
Adrenal_Gland	#33DD33
Brain_Spinal_cord_cervical_c1	#EEEE00
Whole_Blood	#FF00BB
Colon_Sigmoid	#EEBB77
Colon_Transverse	#CC9955
Esophagus_Gastroesophageal_Junction	#8B7355
Esophagus_Mucosa	#552200
Esophagus_Muscularis	#BB9988
Heart_Atrial_Appendage	#9900FF
Heart_Left_Ventricle	#660099
Kidney_Cortex	#22FFDD
Liver	#AABB66
Lung	#99FF00
Minor_Salivary_Gland	#99BB88
Muscle_Skeletal	#AAAAFF
Nerve_Tibial	#FFD700
Ovary	#FFAAFF
Small_Intestine_Terminal_Ileum	#555522
Spleen	#778855
Stomach	#FFDD99
Testis	#AAAAAA
Artery_Aorta	#FF5555
Breast_Mammary_Tissue	#33CCCC
Brain_Caudate_basal_ganglia	#EEEE00
Pituitary	#AAFF99
Brain_Cerebellar_Hemisphere	#EEEE00
Brain_Frontal_Cortex_BA9	#EEEE00
Brain_Hypothalamus	#EEEE00
Brain_Nucleus_accumbens_basal_ganglia	#EEEE00
Cells_EBVtransformed_lymphocytes	#CC66FF
Pancreas	#995522
Thyroid	#006600
