K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
20	70	100	0.799716378767635	3.23502481925112	8.36666666666667	7	52798.2960560153
15	90	100	0.804062470300452	3.02298375792923	7.2	16	56835.2731987417
11	80	100	0.817621988941264	3.0324977456993	7.33333333333333	14	54728.1489905726
17	80	100	0.825118774007623	3.05979462125402	7.43333333333333	29	54938.4732445614
17	80	90	0.827582308270081	3.14821421488476	7.76666666666667	7	53497.4268036965
16	90	100	0.82917595730746	3.02010271625481	7.16666666666667	28	56863.5725972844
19	100	90	0.83320629191384	3.06202394030082	7.3	28	56840.9639170058
12	100	90	0.838323043756058	3.02854497072472	7.3	12	56966.6065381798
11	90	90	0.838818062563446	2.99766893844943	7.06666666666667	15	55451.4163386917
13	90	90	0.839613689858955	3.05276562882689	7.46666666666667	8	55291.8243434817
18	80	100	0.842965818944455	3.08228976617324	7.6	27	55080.7486108495
12	80	70	0.843103745991198	3.21797590277002	8.4	29	49627.6967403731
16	100	100	0.843262103851875	2.9651916026284	7	28	58362.522528037
15	100	90	0.843965094359704	2.98265288397148	7.06666666666667	4	56802.2377517521
15	90	80	0.844879384869654	3.12131052984105	7.83333333333333	7	53495.574408645
20	90	70	0.848764691165245	3.13461205488184	8	16	51071.2069837121
18	100	90	0.849072643048685	3.00660805908161	7.2	22	56908.7858914817
17	90	80	0.852615377698228	3.12038142519199	7.76666666666667	28	53619.0257734424
19	80	80	0.853654387051645	3.17650537352327	8.16666666666667	1	51673.7105684105
20	100	90	0.853800247296616	3.01305465632135	7.23333333333333	7	56829.6142346272
12	70	100	0.853967465408434	3.15002042445954	7.9	28	52882.055714054
15	100	80	0.854005492129363	3.0642582812982	7.43333333333333	6	55189.2750593789
17	70	100	0.854673213793271	3.2153308833782	8.3	22	52683.488264911
15	80	90	0.85515968959223	3.11796979196297	7.73333333333333	4	53376.1613364278
20	70	90	0.856545130002119	3.26569010594895	8.6	15	51353.5595431084
19	70	90	0.85697790593905	3.23768149826902	8.5	8	50955.9767250913
12	100	80	0.858748950374075	3.01749675342793	7.26666666666667	30	55355.5158589162
19	70	100	0.859254924874968	3.25247866385931	8.33333333333333	9	52537.4414377553
10	100	100	0.859452908694851	2.87677887467822	6.53333333333333	12	58489.5716987369
19	100	100	0.860429310446722	2.92986227509989	6.76666666666667	8	58428.0382803352
12	80	100	0.861046809901179	3.06742136829771	7.36666666666667	9	55164.7711419762
13	100	50	0.861056534569053	3.20179408312307	8.43333333333333	15	48290.0412023308
13	90	50	0.861296267497361	3.30560609098212	8.96666666666667	3	46489.0234806965
11	100	100	0.863374595623036	2.95915082143542	6.8	4	58331.9542851481
14	60	100	0.863689266043286	3.27673626925067	8.6	25	50673.7648129229
11	80	20	0.865301185777677	3.53911278573342	10.8	16	33811.7679729885
