K	alpha1	lambda1	nfactor	L_sparsity	F_sparsity
10	1	1	10	0.104061784897025	0.11
10	1	10	10	0.116990846681922	0.165
10	1	100	10	0.141475972540046	0.47
10	1	500	10	0.248226544622426	0.645
10	10	1	10	0.208466819221968	0.33
10	10	10	10	0.22454233409611	0.42
10	10	100	10	0.325057208237986	0.775
10	10	500	9	0.700292397660819	0.772222222222222
10	100	1	10	0.437299771167048	0.54
10	100	10	10	0.457151029748284	0.725
10	100	100	6	0.722349351639969	0.675
10	100	500	3	0.859649122807018	0.616666666666667
10	500	1	6	0.605739893211289	0.491666666666667
10	500	10	4	0.642877574370709	0.4125
10	500	100	3	0.896071700991609	0.583333333333333
10	500	500	1	0.864988558352403	0
15	1	1	15	0.134210526315789	0.116666666666667
15	1	10	15	0.138749046529367	0.173333333333333
15	1	100	15	0.181197559115179	0.436666666666667
15	1	500	15	0.322578184591915	0.606666666666667
15	10	1	15	0.208161708619375	0.48
15	10	10	15	0.229443173150267	0.55
15	10	100	15	0.390198321891686	0.826666666666667
15	10	500	10	0.697597254004577	0.79
15	100	1	15	0.363424866514111	0.766666666666667
15	100	10	12	0.413806254767353	0.791666666666667
15	100	100	7	0.765119320039228	0.757142857142857
15	100	500	2	0.790617848970252	0.4
15	500	1	10	0.599485125858124	0.645
15	500	10	7	0.644818568159529	0.742857142857143
15	500	100	3	0.895118230358505	0.583333333333333
15	500	500	1	0.864988558352403	0
20	1	1	20	0.152202517162471	0.15
20	1	10	20	0.16633295194508	0.1925
20	1	100	20	0.227316933638444	0.415
20	1	500	19	0.399193062748404	0.58421052631579
20	10	1	20	0.21970823798627	0.535
20	10	10	20	0.253975972540046	0.62
20	10	100	18	0.417874396135266	0.872222222222222
20	10	500	10	0.650228832951945	0.79
20	100	1	18	0.417969743198576	0.733333333333333
20	100	10	14	0.390364498202027	0.860714285714286
20	100	100	7	0.76675384112455	0.771428571428571
20	100	500	4	0.890017162471396	0.675
20	500	1	11	0.440035365092573	0.613636363636364
20	500	10	6	0.686975591151793	0.633333333333333
20	500	100	3	0.895118230358505	0.583333333333333
20	500	500	1	0.864988558352403	0
