1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.31393824577441	0	0	0	0	0	0	0	0
Brain_Amygdala	1.72223350671406	0	0	0	0	0	0	2.74021908497499	0
Brain_Caudate_basal_ganglia	1.66432980930731	0	0	0	0	0	0	3.78609338707032	0
Brain_Cerebellar_Hemisphere	1.6890313153625	0	0	0	0	0	0	3.84368323585704	0
Brain_Cortex	1.78114176688306	0	0	0	0	0	0	4.11916236221747	0
Brain_Hippocampus	1.55337225076056	0	0	0	0	0	0	2.89857404642083	0
Brain_Putamen_basal_ganglia	1.76615877058726	0	0	0	0	0	0	3.55886525865889	0
Brain_Spinal_cord_cervical_c-1	2.03985343910579	0	0	0	0	0	0	1.77663491749191	0
Colon_Transverse	1.91929819882427	0	0	0	0	0	8.46615613770676	0	0
Esophagus_Mucosa	2.04360315372766	9.6943099921668	0	0	0	0	0	0	0
Esophagus_Muscularis	2.10987665924279	0	0	0	0	8.97974781863368	0	0	0
Heart_Atrial_Appendage	2.40668532731174	0	0	0	0	0	0	0	0
Lung	1.88756513201005	0	0	9.34232335401325	0	0	0	0	0
Minor_Salivary_Gland	2.31975878403249	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.7506407444922	0	0	0	7.63831186585744	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.76177927074286	0	0	0	7.90827125915089	0	0	0	0
Small_Intestine_Terminal_Ileum	1.94503930709731	0	0	0	0	0	0	0	2.14191694716995
Spleen	2.5464155775467	0	0	0	0	0	0	0	3.78521890625718
Uterus	2.29258198894846	0	0	0	0	0	0	0	0
Whole_Blood	1.14791074850967	0	9.55496751548826	0	0	0	0	0	0
