1	2	3	4	5	6	7	8
Adrenal_Gland	2.34516428498413	0	0	0	0	0	0	0
Brain_Amygdala	1.62805170038951	0	0	2.98151720548754	0	0	0	0
Brain_Caudate_basal_ganglia	1.56382198966422	0	0	3.97879112894366	0	0	0	0
Brain_Cerebellar_Hemisphere	1.57514101760207	0	0	4.07171580865768	0	0	0	0
Brain_Cortex	1.65625707658873	0	0	4.37801855557558	0	0	0	0
Brain_Hippocampus	1.47535388300194	0	0	3.06977015119469	0	0	0	0
Brain_Putamen_basal_ganglia	1.65426317044249	0	0	3.80881406938517	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.05199836363308	0	0	1.71969440117171	0	0	0	0
Colon_Transverse	1.98336608941192	8.25231334133324	0	0	0	0	0	0
Esophagus_Mucosa	2.05005699548545	0	0	0	0	9.73213540283646	0	0
Esophagus_Muscularis	1.98860065495574	0	0	0	0	0	7.58352400451076	0
Heart_Atrial_Appendage	2.16874381650802	0	0	0	0	0	4.04806860401933	0
Lung	1.87846879545264	0	9.36530995131969	0	0	0	0	0
Minor_Salivary_Gland	2.36204177717966	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.69838066120712	0	0	0	7.64367864871145	0	0	0
Skin_Sun_Exposed_Lower_leg	1.68878273486429	0	0	0	8.06284334865819	0	0	0
Small_Intestine_Terminal_Ileum	2.01720486872139	0	0	0	0	0	0	0
Spleen	2.69964870354845	0	0	0	0	0	0	0
Uterus	2.29713084755847	0	0	0	0	0	0	0
Whole_Blood	1.17503294036094	0	0	0	0	0	0	9.22668975929916
