1	2	3	4	5	6	7	8	9	10
Adrenal_Gland	2.49493484400113	0	0	0	0	0	0	0	0	0
Brain_Amygdala	2.50179091731097	0	0	0	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	2.62517885976972	0	0	0	0	0	0	0	0	0.207113328233974
Brain_Cerebellar_Hemisphere	2.66923422293712	0	0	0	0	0	0	0	0	0
Brain_Cortex	2.76116838001667	0	0	0	0	0	0	0	0	0.697964281064197
Brain_Hippocampus	2.34009132376534	0	0	0	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	2.71250424644052	0	0	0	0	0	0	0	0	0.0363253774025821
Brain_Spinal_cord_cervical_c-1	2.61828040231214	0	0	0	0	0	0	0	0	0
Colon_Transverse	1.85190427804158	0	0	0	0	0	10.0767145575839	0	0	0
Esophagus_Mucosa	1.87677452015844	0	0	0	0	0	0	11.0812817295117	0	0
Esophagus_Muscularis	2.16368328165241	0	0	0	10.3569206322542	0	0	0	0	0
Heart_Atrial_Appendage	2.24027321313543	8.81806278432881	0	0	0	0	0	0	0	0
Lung	1.63309433931835	0	0	10.2149616575052	0	0	0	0	0	0
Minor_Salivary_Gland	2.33098065241591	0	0	0	0	1.23363841824418	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.50730787016235	0	0	0	0	0	0	0	8.25033515108129	0
Skin_Sun_Exposed_Lower_leg	1.55908978055017	0	0	0	0	0	0	0	8.20858835249297	0
Small_Intestine_Terminal_Ileum	1.69372510838886	0	0	0	0	4.36666536203813	0	0	0	0
Spleen	2.18883338346535	0	0	0	0	6.01369558861814	0	0	0	0
Uterus	2.43373156586706	0	0	0	0	0	0	0	0	0
Whole_Blood	1.0603656337594	0	10.2180579547634	0	0	0	0	0	0	0
