1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.29327874182756	0	0	0	0	0	0	0	0
Brain_Amygdala	1.55537868970989	0	0	0	0	0	0	0	3.01877971215772
Brain_Caudate_basal_ganglia	1.48012360927979	0	0	0	0	0	0	0	4.04875317259227
Brain_Cerebellar_Hemisphere	1.48581022269624	0	0	0	0	0	0	0	4.13476625498172
Brain_Cortex	1.63910349031715	0	0.619820703757929	0	0	0	0	0	3.95674063168627
Brain_Hippocampus	1.39661035029701	0	0	0	0	0	0	0	3.17498460934386
Brain_Putamen_basal_ganglia	1.56026697035407	0	0	0	0	0	0	0	3.96076484813935
Brain_Spinal_cord_cervical_c-1	1.96570954797608	0	0	0	0	0	0	0	1.84278395519723
Colon_Transverse	1.92235772235532	0	0	0	0	0	0	8.25022730044385	0
Esophagus_Mucosa	1.9841568287896	0	0	9.66006823920866	0	0	0	0	0
Esophagus_Muscularis	1.92698528898513	0	0	0	0	7.55586828261949	0	0	0
Heart_Atrial_Appendage	2.1092517110014	0	0	0	0	4.08455436718676	0	0	0
Lung	1.91413603290572	0	0	0	0	0	9.24751011733229	0	0
Minor_Salivary_Gland	2.30966360412922	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.63309605403403	0	0	0	7.62919765935222	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.62331458409894	0	0	0	8.03484770111063	0	0	0	0
Small_Intestine_Terminal_Ileum	1.97497164768116	0	0	0	0	0	0	0	0
Spleen	2.64068446867321	0	0	0	0	0	0	0	0
Uterus	2.25057534092498	0	0	0	0	0	0	0	0
Whole_Blood	1.09155738110199	9.10915619691501	0	0	0	0	0	0	0
