1	2	3	4	5	6
Adrenal_Gland	1.83292315529289	0	0	0	0	0
Brain_Amygdala	1.4094995999016	0	0	0	0	1.60995058670312
Brain_Caudate_basal_ganglia	1.43303575010985	0	0	0	0	2.15487005247927
Brain_Cerebellar_Hemisphere	1.46230599273057	0	0	0	0	2.15965434593641
Brain_Cortex	1.50869886159751	0	0	0	0	2.46956337221559
Brain_Hippocampus	1.31874969499755	0	0	0	0	1.65672721123149
Brain_Putamen_basal_ganglia	1.49014161948974	0	0	0	0	2.03556441432193
Brain_Spinal_cord_cervical_c-1	1.68977419267197	0	0	0	0	0.949541966484235
Colon_Transverse	1.68145155053088	0	0	0	0	0
Esophagus_Mucosa	1.83247595626955	0	4.91085254567233	0	0	0
Esophagus_Muscularis	1.87657807722029	3.62720012884443	0	0	0	0
Heart_Atrial_Appendage	1.89559548024773	1.41546152313282	0	0	0	0
Lung	1.81553694606262	0	0	0	0	0
Minor_Salivary_Gland	1.86105095317774	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.68099613049672	0	0	0	4.62025861174993	0
Skin_Sun_Exposed_Lower_leg	1.69762962174491	0	0	0	4.8062236834199	0
Small_Intestine_Terminal_Ileum	1.58376537764076	0	0	0	0	0
Spleen	2.12328732100288	0	0	0	0	0
Uterus	1.81123993348565	0	0	0	0	0
Whole_Blood	1.08566418773714	0	0	5.81400909922045	0	0
