K	alpha1	lambda1	coph	correlation	nfactor
30	100	300	0.930420268288193	4.9412569265514	21.9333333333333
35	100	300	0.938255489657556	4.951847850506	22.0666666666667
30	100	400	0.94238635427872	4.76725169659787	20.2
35	100	400	0.942581245914396	4.74777181983382	20.1
40	100	400	0.94555363830592	4.76185711389289	20.1666666666667
40	100	300	0.947778497279308	5.02293728555347	22.7333333333333
40	100	500	0.948466916583052	4.56824308082436	18.4666666666667
35	100	500	0.949634786249471	4.55956127951254	18.4
40	50	200	0.949899441516767	6.23405147232885	35.8666666666667
30	50	200	0.953485177660375	5.70891825657847	29.9655172413793
40	100	100	0.953742691113224	6.10317662224237	34.5
40	10	500	0.954352850337999	6.78357752550356	39.9655172413793
30	10	200	0.955384330312033	5.88844496524033	30
35	100	100	0.958700588063264	5.98922737543888	33.1333333333333
30	10	400	0.960339484115172	5.92926076527461	30
30	100	500	0.961395810611006	4.5530094322483	18.3333333333333
35	50	300	0.962106512755581	5.77039166945405	30.4827586206897
30	10	300	0.963459988922645	5.90467867186696	30
30	100	100	0.963499617314712	5.67835899314559	29.6333333333333
35	50	200	0.965356501144438	6.03227624627092	33.6666666666667
35	50	100	0.966578929224297	6.14824835940026	34.84
35	10	500	0.966792355810019	6.36702732946981	35
35	100	200	0.967028365261239	5.35510278378288	26.2
30	50	300	0.967251357422532	5.59879812157578	28.7
35	10	400	0.968954463291699	6.38115149128445	35
30	100	200	0.969217108086597	5.24613163886059	25.1
40	50	400	0.96953001195673	5.55930084050459	27.9655172413793
30	50	500	0.970626815823762	5.19436888693559	24.3
30	50	400	0.972402058240232	5.35672305544603	26
40	50	500	0.973342257014502	5.25744155880392	24.9333333333333
40	100	200	0.974105184850334	5.40112228354635	26.6666666666667
40	50	300	0.976656810386925	5.91831442335816	32.0666666666667
35	50	500	0.976911934171019	5.27066199115315	24.9333333333333
35	50	400	0.977354847742909	5.47436519235987	27.2333333333333
30	50	100	0.978519023086359	5.7231404887118	29.9642857142857
35	10	300	0.978832224503855	6.36742996475857	35
30	10	500	0.979990376165488	5.96439194504884	30
40	10	400	0.981675899663028	6.80921478155522	40
40	10	300	0.982962255140419	6.79584758726458	40
40	10	200	0.985572791860678	6.80229965741429	40
35	10	200	0.987632287747661	6.38830011225421	35
40	50	100	0.991788227099634	6.5039046184238	39.4827586206897
